SessionID,SessionDate,SessionDuration,SessionFrequency,RecordID,Timestamp,timeIntervalSince1970,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,MagX,MagY,MagZ,WatchTimestamp,WatchtImeIntervalSince1970,WatchGyroX,WatchGyroY,WatchGyroZ,WatchAccX,WatchAccY,WatchAccZ
1,39:45.9,00:05,60,0,39:47.8,1661938788,-0.350058677,-0.131832599,1.361294499,-0.816055298,-0.081390381,-0.089645386,18.87016296,-61.02095032,-49.22491455,,,,,,,,
1,39:45.9,00:05,60,0,39:47.8,1661938788,-0.322267259,-0.144585146,1.424010877,-0.829437256,-0.089538574,-0.093490601,19.55343628,-60.4619751,-48.9972229,,,,,,,,
1,39:45.9,00:05,60,0,39:47.8,1661938788,-0.315379792,-0.231969054,1.490460741,-0.849380493,-0.101348877,-0.088592529,19.62854004,-59.0620575,-48.66467285,,,,,,,,
1,39:45.9,00:05,60,0,39:47.8,1661938788,-0.307989254,-0.357156534,1.583264448,-0.879226685,-0.100372314,-0.086929321,20.26939392,-57.91969299,-48.09584045,,,,,,,,
1,39:45.9,00:05,60,0,39:47.9,1661938788,-0.316365694,-0.453138724,1.659869744,-0.91998291,-0.086929321,-0.07723999,20.26939392,-57.91969299,-48.09584045,,,,,,,,
1,39:45.9,00:05,60,0,39:47.9,1661938788,-0.364306855,-0.487039699,1.69303835,-0.966033936,-0.063552856,-0.07510376,20.82264709,-56.30752563,-47.02912903,,,,,,,,
1,39:45.9,00:05,60,0,39:47.9,1661938788,-0.448215338,-0.473491133,1.691448177,-0.996673584,-0.043319702,-0.084457397,21.27648926,-54.73245239,-47.11793518,,,,,,,,
1,39:45.9,00:05,60,0,39:47.9,1661938788,-0.532607983,-0.381984918,1.678328114,-1.03453064,-0.017456055,-0.090026855,21.97311401,-53.7964325,-46.47320557,,,,,,,,
1,39:45.9,00:05,60,0,39:47.9,1661938788,-0.600970263,-0.284483395,1.683506098,-1.052780151,0.001815796,-0.092330933,22.69770813,-52.26246643,-45.43022156,,,,,,,,
1,39:45.9,00:05,60,0,39:47.9,1661938788,-0.670296341,-0.277415099,1.736887031,-1.046691895,0.011810303,-0.104370117,23.54527283,-51.31684875,-44.72442627,,,,,,,,
1,39:45.9,00:05,60,0,39:48.0,1661938788,-0.712763907,-0.321034482,1.799196745,-1.057006836,0.029968262,-0.110809326,23.54527283,-51.31684875,-44.72442627,,,,,,,,
1,39:45.9,00:05,60,0,39:48.0,1661938788,-0.681839014,-0.296107028,1.7931029,-1.100723267,0.054214478,-0.085754395,24.36174011,-49.82072449,-43.80381775,,,,,,,,
1,39:45.9,00:05,60,0,39:48.0,1661938788,-0.64728583,-0.247098472,1.6717802,-1.16506958,0.087158203,-0.028762817,25.18296814,-48.14755249,-43.89332581,,,,,,,,
1,39:45.9,00:05,60,0,39:48.0,1661938788,-0.79453973,-0.204750749,1.522613085,-1.244049072,0.132415771,-0.003219604,26.01974487,-47.57730103,-43.13087463,,,,,,,,
1,39:45.9,00:05,60,0,39:48.0,1661938788,-1.246353798,-0.204773652,1.458046076,-1.338607788,0.206512451,-0.019332886,26.8150177,-46.47090149,-42.22038269,,,,,,,,
1,39:45.9,00:05,60,0,39:48.0,1661938788,-1.879582665,-0.196817192,1.578573556,-1.428161621,0.295410156,-0.085327148,27.92358398,-45.18469238,-40.80541992,,,,,,,,
1,39:45.9,00:05,60,0,39:48.1,1661938788,-2.367017044,-0.112262094,1.877217245,-1.494003296,0.342041016,-0.131729126,27.92358398,-45.18469238,-40.80541992,,,,,,,,
1,39:45.9,00:05,60,0,39:48.1,1661938788,-2.538026341,0.008456335,2.215415001,-1.526367188,0.327545166,-0.176208496,29.43435669,-44.50584412,-38.9594574,,,,,,,,
1,39:45.9,00:05,60,0,39:48.1,1661938788,-2.46034859,0.099208343,2.408753572,-1.501296997,0.292938232,-0.203689575,31.10415649,-42.88476563,-37.52740479,,,,,,,,
1,39:45.9,00:05,60,0,39:48.1,1661938788,-2.223177051,0.176514583,2.402677038,-1.435272217,0.25944519,-0.217254639,32.62161255,-42.0683136,-36.06343079,,,,,,,,
1,39:45.9,00:05,60,0,39:48.1,1661938788,-1.923431079,0.176440281,2.284751466,-1.331558228,0.201141357,-0.200012207,34.08808899,-41.06855774,-35.16970825,,,,,,,,
1,39:45.9,00:05,60,0,39:48.1,1661938788,-1.656121878,0.042126415,2.102376596,-1.217346191,0.128768921,-0.191696167,35.67648315,-40.74247742,-33.53536987,,,,,,,,
1,39:45.9,00:05,60,0,39:48.2,1661938788,-1.349161669,-0.522436572,1.689822051,-1.091491699,0.07522583,-0.204360962,37.07035828,-40.25862122,-32.51269531,,,,,,,,
1,39:45.9,00:05,60,0,39:48.2,1661938788,-1.200539704,-0.738662349,1.595373842,-1.111953735,0.105316162,-0.202011108,37.07035828,-40.25862122,-32.51269531,,,,,,,,
1,39:45.9,00:05,60,0,39:48.2,1661938788,-1.008542034,-0.852804368,1.543001181,-1.172134399,0.143356323,-0.186187744,38.27452087,-39.86605835,-31.51704407,,,,,,,,
1,39:45.9,00:05,60,0,39:48.2,1661938788,-0.877632487,-0.883480256,1.507512162,-1.227523804,0.17767334,-0.191635132,39.45436096,-39.80477905,-30.93519592,,,,,,,,
1,39:45.9,00:05,60,0,39:48.2,1661938788,-0.867714342,-0.784756342,1.495852843,-1.277740479,0.196655273,-0.18359375,40.54786682,-39.09912109,-30.21173096,,,,,,,,
1,39:45.9,00:05,60,0,39:48.2,1661938788,-0.978932743,-0.6125654,1.479859496,-1.290313721,0.192306519,-0.167770386,41.83981323,-38.99440002,-29.18473816,,,,,,,,
1,39:45.9,00:05,60,0,39:48.3,1661938788,-1.173495303,-0.404581041,1.456816761,-1.257873535,0.161331177,-0.174713135,41.83981323,-38.99440002,-29.18473816,,,,,,,,
1,39:45.9,00:05,60,0,39:48.3,1661938788,-1.350587259,-0.177559341,1.38434762,-1.207092285,0.127502441,-0.17401123,43.0668335,-39.00198364,-27.76722717,,,,,,,,
1,39:45.9,00:05,60,0,39:48.3,1661938788,-1.439856153,-0.008619055,1.263814281,-1.143890381,0.108551025,-0.172119141,43.85447693,-38.44255066,-27.58244324,,,,,,,,
1,39:45.9,00:05,60,0,39:48.3,1661938788,-1.411084426,0.123352295,1.136124495,-1.088394165,0.088531494,-0.18157959,44.89111328,-38.5916748,-26.94793701,,,,,,,,
1,39:45.9,00:05,60,0,39:48.3,1661938788,-1.27548372,0.223379294,1.030956796,-1.045532227,0.070037842,-0.171264648,45.72470093,-38.81990051,-25.58209229,,,,,,,,
1,39:45.9,00:05,60,0,39:48.3,1661938788,-1.058895753,0.217693445,0.928169164,-0.988479614,0.048446655,-0.157165527,46.40023804,-38.65940857,-24.94656372,,,,,,,,
1,39:45.9,00:05,60,0,39:48.4,1661938788,-0.825622282,0.115624601,0.836301292,-0.936706543,0.026107788,-0.164093018,46.98762512,-38.82479858,-24.09207153,,,,,,,,
1,39:45.9,00:05,60,0,39:48.4,1661938788,-0.558386584,-0.008794557,0.755788872,-0.91506958,0.015762329,-0.156585693,46.98762512,-38.82479858,-24.09207153,,,,,,,,
1,39:45.9,00:05,60,0,39:48.4,1661938788,-0.258693343,-0.124707045,0.661757181,-0.911422729,0.012664795,-0.142150879,47.59191895,-38.97047424,-23.48406982,,,,,,,,
1,39:45.9,00:05,60,0,39:48.4,1661938788,0.022271484,-0.221606694,0.534184841,-0.917785645,0.006790161,-0.130126953,47.98956299,-38.86628723,-23.03912354,,,,,,,,
1,39:45.9,00:05,60,0,39:48.4,1661938788,0.221694046,-0.249319016,0.362194968,-0.936477661,0.005279541,-0.119247437,48.28892517,-38.60673523,-23.7791748,,,,,,,,
1,39:45.9,00:05,60,0,39:48.4,1661938788,0.306742362,-0.206560633,0.218872427,-0.950454712,0.013198853,-0.108093262,48.41111755,-38.51039124,-24.10287476,,,,,,,,
1,39:45.9,00:05,60,0,39:48.5,1661938788,0.293426024,-0.111488179,0.150445698,-0.963272095,0.020095825,-0.103271484,48.46809387,-38.41035461,-23.89710999,,,,,,,,
1,39:45.9,00:05,60,0,39:48.5,1661938788,0.248212739,0.005974003,0.141106259,-0.96862793,0.017959595,-0.102996826,48.46809387,-38.41035461,-23.89710999,,,,,,,,
1,39:45.9,00:05,60,0,39:48.5,1661938788,0.231726706,0.120707244,0.135015876,-0.984451294,0.015014648,-0.09034729,48.56306458,-38.35531616,-23.66262817,,,,,,,,
1,39:45.9,00:05,60,0,39:48.5,1661938789,0.237155827,0.160062107,0.064020262,-0.994598389,0.023117065,-0.077438354,48.51577759,-37.61720276,-24.09747314,,,,,,,,
1,39:45.9,00:05,60,0,39:48.5,1661938789,0.288275204,0.169574652,-0.070097862,-1.005233765,0.027893066,-0.082336426,48.37609863,-37.83049011,-24.05537415,,,,,,,,
1,39:45.9,00:05,60,0,39:48.5,1661938789,0.424747562,0.196248607,-0.224530313,-1.019561768,0.024490356,-0.078994751,48.20433044,-37.56336975,-24.69100952,,,,,,,,
1,39:45.9,00:05,60,0,39:48.6,1661938789,0.635125038,0.235886564,-0.371679284,-1.026428223,0.01600647,-0.073364258,47.77180481,-37.44825745,-25.19561768,,,,,,,,
1,39:45.9,00:05,60,0,39:48.6,1661938789,0.841814302,0.235180294,-0.496116551,-1.014480591,0.010162354,-0.061065674,47.77180481,-37.44825745,-25.19561768,,,,,,,,
1,39:45.9,00:05,60,0,39:48.6,1661938789,1.027820924,0.161694891,-0.592006063,-1.00163269,0.020629883,-0.056182861,47.32557678,-37.41902161,-25.03125,,,,,,,,
1,39:45.9,00:05,60,0,39:48.6,1661938789,1.180168119,0.04658721,-0.656304093,-0.994918823,0.032470703,-0.058120728,46.68164063,-36.73358154,-26.18669128,,,,,,,,
1,39:45.9,00:05,60,0,39:48.6,1661938789,1.288357174,-0.029755499,-0.709211516,-1.018371582,0.037719727,-0.053405762,46.17515564,-36.95787048,-27.0015564,,,,,,,,
1,39:45.9,00:05,60,0,39:48.6,1661938789,1.328732561,-0.078832498,-0.785810154,-1.047271729,0.038604736,-0.057571411,45.19493103,-36.04470825,-28.00308228,,,,,,,,
1,39:45.9,00:05,60,0,39:48.7,1661938789,1.319065286,0.025224663,-0.943256771,-1.103790283,0.043045044,-0.06211853,44.53596497,-36.00263977,-28.98677063,,,,,,,,
1,39:45.9,00:05,60,0,39:48.7,1661938789,1.267272129,0.140218894,-1.171925636,-1.172180176,0.048416138,-0.043380737,44.53596497,-36.00263977,-28.98677063,,,,,,,,
1,39:45.9,00:05,60,0,39:48.7,1661938789,1.155626024,0.144661845,-1.36790553,-1.219894409,0.069213867,-0.062698364,43.40875244,-36.2649231,-29.66668701,,,,,,,,
1,39:45.9,00:05,60,0,39:48.7,1661938789,0.997578599,0.116440061,-1.453473162,-1.281082153,0.119033813,-0.095626831,41.89198303,-35.82575989,-30.79441833,,,,,,,,
1,39:45.9,00:05,60,0,39:48.7,1661938789,0.860177596,0.097980626,-1.453029479,-1.367523193,0.18598938,-0.118148804,40.69493103,-35.64549255,-31.68463135,,,,,,,,
1,39:45.9,00:05,60,0,39:48.7,1661938789,0.782321147,0.078625037,-1.442437022,-1.416503906,0.229690552,-0.16847229,39.26689148,-35.61480713,-32.38928223,,,,,,,,
1,39:45.9,00:05,60,0,39:48.8,1661938789,0.77383099,0.096555568,-1.456815962,-1.432250977,0.230575562,-0.219650269,38.17735291,-36.43173218,-32.95050049,,,,,,,,
1,39:45.9,00:05,60,0,39:48.8,1661938789,0.804701021,0.148695469,-1.547967177,-1.419616699,0.196243286,-0.245330811,38.17735291,-36.43173218,-32.95050049,,,,,,,,
1,39:45.9,00:05,60,0,39:48.8,1661938789,0.809463552,0.341831906,-1.699107961,-1.402801514,0.177230835,-0.264205933,36.69248962,-36.82241821,-33.54238892,,,,,,,,
1,39:45.9,00:05,60,0,39:48.8,1661938789,0.801750771,0.549286829,-1.898706025,-1.379165649,0.176589966,-0.246139526,34.97093201,-37.42904663,-35.22766113,,,,,,,,
1,39:45.9,00:05,60,0,39:48.8,1661938789,0.887668609,0.592533635,-2.116773645,-1.327301025,0.15071106,-0.271606445,33.15797424,-38.06855774,-36.52687073,,,,,,,,
1,39:45.9,00:05,60,0,39:48.8,1661938789,1.069531619,0.493731424,-2.300830034,-1.261367798,0.120620728,-0.303161621,31.21357727,-39.0085144,-37.83432007,,,,,,,,
1,39:45.9,00:05,60,0,39:48.9,1661938789,1.361801032,0.361010128,-2.449152394,-1.245635986,0.142471313,-0.306762695,29.38119507,-40.30450439,-39.36755371,,,,,,,,
1,39:45.9,00:05,60,0,39:48.9,1661938789,1.647354751,0.258251791,-2.567880643,-1.286010742,0.20993042,-0.282150269,29.38119507,-40.30450439,-39.36755371,,,,,,,,
1,39:45.9,00:05,60,0,39:48.9,1661938789,1.906204688,0.384727442,-2.63221356,-1.430435181,0.350616455,-0.235046387,27.47859192,-41.90238953,-40.1738739,,,,,,,,
1,39:45.9,00:05,60,0,39:48.9,1661938789,1.922245706,0.427666653,-2.555965927,-1.473526001,0.373016357,-0.24307251,25.83450317,-43.93539429,-41.56787109,,,,,,,,
1,39:45.9,00:05,60,0,39:48.9,1661938789,1.784480916,0.363294587,-2.527053318,-1.442977905,0.369644165,-0.266479492,24.05160522,-45.7275238,-44.30091858,,,,,,,,
1,39:45.9,00:05,60,0,39:48.9,1661938789,1.564290224,0.381557747,-2.54994665,-1.398010254,0.368255615,-0.275894165,22.65478516,-47.85162354,-45.05439758,,,,,,,,
1,39:45.9,00:05,60,0,39:49.0,1661938789,1.346792788,0.501998675,-2.559223772,-1.360839844,0.355651855,-0.246185303,21.22991943,-50.17834473,-46.31716919,,,,,,,,
1,39:45.9,00:05,60,0,39:49.0,1661938789,1.170819891,0.620986848,-2.525337444,-1.299331665,0.331207275,-0.217285156,21.22991943,-50.17834473,-46.31716919,,,,,,,,
1,39:45.9,00:05,60,0,39:49.0,1661938789,1.018371229,0.693044797,-2.455624675,-1.218948364,0.293441772,-0.2006073,20.3052063,-52.39112854,-47.20161438,,,,,,,,
1,39:45.9,00:05,60,0,39:49.0,1661938789,0.899163079,0.688752846,-2.365419414,-1.142868042,0.269577026,-0.176940918,19.11708069,-54.35432434,-48.65895081,,,,,,,,
1,39:45.9,00:05,60,0,39:49.0,1661938789,0.804257339,0.665386804,-2.260363834,-1.072097778,0.257949829,-0.164352417,18.20591736,-56.2245636,-49.93933105,,,,,,,,
1,39:45.9,00:05,60,0,39:49.0,1661938789,0.739426943,0.5974477,-2.134679142,-1.005477905,0.244613647,-0.139846802,17.48878479,-58.30514526,-51.06031799,,,,,,,,
1,39:45.9,00:05,60,0,39:49.1,1661938789,0.705282555,0.487658884,-2.012067472,-0.945617676,0.230133057,-0.128662109,16.7562561,-60.07652283,-51.87893677,,,,,,,,
1,39:45.9,00:05,60,0,39:49.1,1661938789,0.630680222,0.384118377,-1.897453807,-0.887527466,0.215255737,-0.121627808,16.45605469,-61.96141052,-51.7565155,,,,,,,,
1,39:45.9,00:05,60,0,39:49.1,1661938789,0.506195817,0.303718076,-1.777093573,-0.853179932,0.21043396,-0.121002197,16.45605469,-61.96141052,-51.7565155,,,,,,,,
1,39:45.9,00:05,60,0,39:49.1,1661938789,0.403973574,0.267808278,-1.638913596,-0.816543579,0.20161438,-0.119064331,15.85098267,-63.77297974,-52.38084412,,,,,,,,
1,39:45.9,00:05,60,0,39:49.1,1661938789,0.332546528,0.284332127,-1.463130583,-0.782623291,0.189834595,-0.118835449,15.46542358,-64.74028015,-52.96237183,,,,,,,,
1,39:45.9,00:05,60,0,39:49.1,1661938789,0.280054292,0.289158841,-1.257173955,-0.751922607,0.181686401,-0.107925415,15.44717407,-66.40509033,-53.07499695,,,,,,,,
1,39:45.9,00:05,60,0,39:49.2,1661938789,0.230565835,0.286107923,-1.035142753,-0.731658936,0.167419434,-0.111846924,15.42398071,-67.8432312,-53.35394287,,,,,,,,
1,39:45.9,00:05,60,0,39:49.2,1661938789,0.211872574,0.2974956,-0.824642772,-0.715606689,0.156219482,-0.110076904,15.42398071,-67.8432312,-53.35394287,,,,,,,,
1,39:45.9,00:05,60,0,39:49.2,1661938789,0.253082862,0.26728763,-0.64864351,-0.69418335,0.147338867,-0.094650269,15.22557068,-68.60986328,-53.42913818,,,,,,,,
1,39:45.9,00:05,60,0,39:49.2,1661938789,0.298540358,0.218559505,-0.490410462,-0.671173096,0.130722046,-0.086730957,15.21339417,-68.92637634,-53.70906067,,,,,,,,
1,39:45.9,00:05,60,0,39:49.2,1661938789,0.299019461,0.138264932,-0.311991186,-0.648727417,0.109802246,-0.071243286,15.12490845,-69.48196411,-53.65605164,,,,,,,,
1,39:45.9,00:05,60,0,39:49.2,1661938789,0.253980347,0.002689793,-0.109618906,-0.634399414,0.095352173,-0.067352295,15.20718384,-69.54092407,-53.13504028,,,,,,,,
1,39:45.9,00:05,60,0,39:49.3,1661938789,0.169122181,-0.15284281,0.10430084,-0.624359131,0.082199097,-0.062606812,14.83903503,-69.26351929,-54.10643005,,,,,,,,
1,39:45.9,00:05,60,0,39:49.3,1661938789,0.037740721,-0.266915054,0.306147678,-0.63168335,0.067687988,-0.066757202,14.99713135,-69.47366333,-53.32887268,,,,,,,,
1,39:45.9,00:05,60,0,39:49.3,1661938789,-0.131848312,-0.306140754,0.473037597,-0.653503418,0.051727295,-0.066864014,14.99713135,-69.47366333,-53.32887268,,,,,,,,
1,39:45.9,00:05,60,0,39:49.3,1661938789,-0.274191343,-0.269505777,0.598462631,-0.669235229,0.043640137,-0.065490723,15.00700378,-69.02133179,-52.65576172,,,,,,,,
1,39:45.9,00:05,60,0,39:49.3,1661938789,-0.384340751,-0.198300839,0.716088863,-0.679840088,0.037963867,-0.062225342,14.88674927,-67.95726013,-53.40956116,,,,,,,,
1,39:45.9,00:05,60,0,39:49.3,1661938789,-0.495908824,-0.151706971,0.848069268,-0.685699463,0.029510498,-0.072402954,15.03466797,-67.24913025,-52.13238525,,,,,,,,
1,39:45.9,00:05,60,0,39:49.4,1661938789,-0.616967073,-0.129134817,0.99942923,-0.697265625,0.025817871,-0.079879761,15.03990173,-65.60647583,-53.07583618,,,,,,,,
1,39:45.9,00:05,60,0,39:49.4,1661938789,-0.722451422,-0.208258398,1.184122647,-0.712753296,0.035430908,-0.085998535,15.21888733,-64.0925293,-52.58454895,,,,,,,,
1,39:45.9,00:05,60,0,39:49.4,1661938789,-0.789402492,-0.36437157,1.393430065,-0.761901855,0.050674438,-0.11505127,15.21888733,-64.0925293,-52.58454895,,,,,,,,
1,39:45.9,00:05,60,0,39:49.4,1661938789,-0.783126487,-0.518948896,1.578733346,-0.875167847,0.100418091,-0.141662598,15.56987,-62.76950073,-50.97569275,,,,,,,,
1,39:45.9,00:05,60,0,39:49.4,1661938789,-0.73803411,-0.587140201,1.724889491,-1.021621704,0.176773071,-0.169036865,15.88874817,-61.37864685,-50.95864868,,,,,,,,
1,39:45.9,00:05,60,0,39:49.4,1661938789,-0.71843857,-0.56093443,1.828327466,-1.156097412,0.239608765,-0.187149048,16.52351379,-59.88467407,-49.7026062,,,,,,,,
1,39:45.9,00:05,60,0,39:49.5,1661938789,-0.732622034,-0.472397639,1.91428099,-1.223602295,0.264160156,-0.200256348,16.86642456,-57.59046936,-49.81149292,,,,,,,,
1,39:45.9,00:05,60,0,39:49.5,1661938789,-0.76795073,-0.389251886,2.02805283,-1.209625244,0.240905762,-0.216064453,17.62698364,-55.84202576,-49.2973938,,,,,,,,
1,39:45.9,00:05,60,0,39:49.5,1661938789,-0.778113619,-0.319203559,2.172206544,-1.182922363,0.19367981,-0.200897217,17.62698364,-55.84202576,-49.2973938,,,,,,,,
1,39:45.9,00:05,60,0,39:49.5,1661938790,-0.776415854,-0.331038913,2.302189578,-1.150985718,0.159301758,-0.179672241,18.70422363,-53.66101074,-48.37840271,,,,,,,,
1,39:45.9,00:05,60,0,39:49.5,1661938790,-0.764302998,-0.427538821,2.389276277,-1.125488281,0.139007568,-0.170608521,19.71109009,-51.77029419,-48.11100769,,,,,,,,
1,39:45.9,00:05,60,0,39:49.5,1661938790,-0.744224894,-0.55848086,2.421453388,-1.128555298,0.136077881,-0.170944214,20.98806763,-49.7651062,-46.75875854,,,,,,,,
1,39:45.9,00:05,60,0,39:49.6,1661938790,-0.681442203,-0.693367838,2.413550724,-1.155090332,0.163986206,-0.167190552,21.89952087,-47.67860413,-46.26870728,,,,,,,,
1,39:45.9,00:05,60,0,39:49.6,1661938790,-0.586267217,-0.825408963,2.427985057,-1.212875366,0.19619751,-0.170669556,23.19213867,-45.71537781,-45.41389465,,,,,,,,
1,39:45.9,00:05,60,0,39:49.6,1661938790,-0.517533693,-0.949675788,2.48911286,-1.291473389,0.234237671,-0.174240112,23.19213867,-45.71537781,-45.41389465,,,,,,,,
1,39:45.9,00:05,60,0,39:49.6,1661938790,-0.53302823,-0.85817916,2.631067069,-1.483459473,0.315383911,-0.156173706,24.80769348,-44.427948,-43.70449829,,,,,,,,
1,39:45.9,00:05,60,0,39:49.6,1661938790,-0.657704649,-0.661460505,2.616850583,-1.532211304,0.320907593,-0.153152466,26.19685364,-42.4236145,-43.65635681,,,,,,,,
1,39:45.9,00:05,60,0,39:49.6,1661938790,-0.885341006,-0.412865336,2.566171426,-1.513305664,0.286605835,-0.151153564,28.10772705,-40.8193512,-42.52073669,,,,,,,,
1,39:45.9,00:05,60,0,39:49.7,1661938790,-1.164822452,-0.190164349,2.509196557,-1.450454712,0.237014771,-0.147979736,29.90447998,-39.42184448,-41.9753418,,,,,,,,
1,39:45.9,00:05,60,0,39:49.7,1661938790,-1.357586579,-0.059424445,2.456174884,-1.367080688,0.191665649,-0.145370483,31.80859375,-38.22187805,-40.72640991,,,,,,,,
